학교명,학교급구분,설립형태,교육지원청명,위도,경도
서울당현초등학교,초등학교,공립,서울특별시북부교육지원청,37.64826016,127.0582136
서울상일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.54757217,127.1726635
서울중마초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.56579084,127.0790239
서울일원초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.48978808,127.0763669
서울금호초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.55196497,127.0197434
서울정목초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.53652885,126.8700491
서울강솔초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.56186962,127.1802671
서울신구로초등학교,초등학교,공립,서울특별시남부교육지원청,37.49966003,126.8897631
서울전동초등학교,초등학교,공립,서울특별시동부교육지원청,37.57908329,127.0608053
서울명일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.5545536,127.1425911
서울금북초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.55749549,127.0235067
우촌초등학교,초등학교,사립,서울특별시성북강북교육지원청,37.59560791,127.0114325
서울묘곡초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55871278,127.1530934
서울천일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.54436122,127.1334367
서울가인초등학교,초등학교,공립,서울특별시북부교육지원청,37.6594678,127.0429509
서울명원초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55128785,127.1505002
서울금나래초등학교,초등학교,공립,서울특별시남부교육지원청,37.45823,126.8962417
서울아현초등학교,초등학교,공립,서울특별시서부교육지원청,37.5558319,126.9562422
서울영등포초등학교,초등학교,공립,서울특별시남부교육지원청,37.51294802,126.898215
서울강동초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.5463638,127.1301872
서울어울초등학교,초등학교,공립,서울특별시서부교육지원청,37.60656331,126.9350984
서울창동초등학교,초등학교,공립,서울특별시북부교육지원청,37.65536304,127.0448329
서울연광초등학교,초등학교,공립,서울특별시서부교육지원청,37.62364876,126.923909
서울등촌초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.54761422,126.8579422
서울양목초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52391851,126.8614719
서울고덕초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.56129361,127.1660799
서울등마초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.54204371,126.8616672
서울상천초등학교,초등학교,공립,서울특별시북부교육지원청,37.64628513,127.0578888
서울등서초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55188439,126.8550381
서울고은초등학교,초등학교,공립,서울특별시서부교육지원청,37.58500184,126.9439749
서울석관초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.61102206,127.0583553
서울청운초등학교,초등학교,공립,서울특별시중부교육지원청,37.58592131,126.9692423
서울세명초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.4688571,127.0910759
서울이문초등학교,초등학교,공립,서울특별시동부교육지원청,37.60189649,127.064885
서울정심초등학교,초등학교,공립,서울특별시남부교육지원청,37.47199405,126.9082144
서울양재초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.47416538,127.0318861
서울우신초등학교,초등학교,공립,서울특별시남부교육지원청,37.50986472,126.9118637
한신초등학교,초등학교,사립,서울특별시북부교육지원청,37.65335584,127.0324273
서울월천초등학교,초등학교,공립,서울특별시북부교육지원청,37.64804738,127.0517539
서울돈암초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.59371444,127.0131036
서울천동초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.5410159,127.1378287
서울고일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55154262,127.1694101
서울해누리초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.49841159,127.1021242
서울강덕초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55954748,127.1604836
서울응암초등학교,초등학교,공립,서울특별시서부교육지원청,37.58875319,126.9216161
