학교명,학교급구분,설립형태,교육지원청명,위도,경도,2008년 학생수,2009년 학생수,2010년 학생수,2011년 학생수,2012년 학생수,2013년 학생수,2014년 학생수,2015년 학생수,2016년 학생수,2017년 학생수,2018년 학생수,2019년 학생수,2020년 학생수,2021년 학생수,2022년 학생수
서울행림초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.48280761,126.9649643,544,499,481,468,413,379,343,329,312,303,288,280,263,249,241
서울송중초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.61700008,127.0314657,1274,1187,1115,1011,926,806,769,734,712,718,725,698,742,746,712
서울군자초등학교,초등학교,공립,서울특별시동부교육지원청,37.56412232,127.0605233,820,729,649,574,503,452,425,394,374,350,351,311,299,291,298
서울신흥초등학교,초등학교,공립,서울특별시남부교육지원청,37.45934816,126.9093508,722,673,615,525,457,415,389,783,737,711,683,687,639,595,540
서울자양초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.53698824,127.0797396,1023,913,828,777,684,612,571,540,510,488,489,473,449,458,467
서울북한산초등학교,초등학교,공립,서울특별시서부교육지원청,37.65363208,126.9504624,195,178,171,149,154,140,128,125,143,144,164,139,122,128,116
서울신북초등학교,초등학교,공립,서울특별시서부교육지원청,37.57110496,126.9053603,1420,1339,1282,1273,1201,1218,1187,1144,1029,1015,971,940,898,841,793
서울동답초등학교,초등학교,공립,서울특별시동부교육지원청,37.57150142,127.0640341,922,894,801,733,667,573,539,523,496,512,513,508,502,473,493
서울태릉초등학교,초등학교,공립,서울특별시북부교육지원청,37.6231024,127.0850589,1776,1647,1555,1492,1379,1277,1212,1170,1099,988,936,880,810,777,871
서울신가초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.5003628,127.1198778,1638,1448,1290,1219,1114,982,916,862,812,743,745,719,678,675,686
서울신목초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.51661098,126.8726408,1554,1423,1329,1224,1105,999,948,972,964,954,988,1029,1069,1042,1047
서울방산초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50955532,127.1210892,1233,1131,1073,978,896,791,735,719,704,672,724,665,660,635,644
광운초등학교,초등학교,사립,서울특별시성북강북교육지원청,37.61906522,127.0550771,653,666,672,659,650,656,637,628,625,610,593,587,598,610,598
서울백운초등학교,초등학교,공립,서울특별시북부교육지원청,37.65264151,127.0136725,1672,1575,1457,1365,1251,1109,1028,1008,997,952,918,916,863,818,796
서울고산초등학교,초등학교,공립,서울특별시남부교육지원청,37.49897255,126.8647727,864,863,789,764,692,617,602,571,542,522,498,500,472,416,407
서울계상초등학교,초등학교,공립,서울특별시북부교육지원청,37.66219777,127.0686777,1442,1357,1232,1142,1043,927,889,816,771,717,652,622,573,519,483
서울신상도초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.50034802,126.9446159,1660,1620,1562,1509,1397,1306,1260,1211,1224,1328,1360,1403,1374,1438,1463
서울후암초등학교,초등학교,공립,서울특별시중부교육지원청,37.55136541,126.9817243,908,847,776,713,620,596,584,539,522,480,438,388,332,312,296
서울홍연초등학교,초등학교,공립,서울특별시서부교육지원청,37.58211871,126.9306604,1489,1326,1237,1184,1089,1019,967,964,911,887,829,795,744,704,645
서울사근초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.562685,127.047545,490,432,386,347,304,277,265,259,215,207,199,199,176,168,173
서울덕수초등학교,초등학교,공립,서울특별시중부교육지원청,37.56908888,126.9746579,572,576,569,576,555,533,475,485,453,471,478,490,511,483,457
서울북가좌초등학교,초등학교,공립,서울특별시서부교육지원청,37.57722021,126.9077782,2219,1727,1586,1424,1315,1516,1480,1532,1437,1415,1367,1305,1297,1249,1226
서울서강초등학교,초등학교,공립,서울특별시서부교육지원청,37.54869715,126.9268512,1135,1123,1183,1158,1094,1076,1037,1083,984,986,982,1012,1008,984,1022
서울마장초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.56830949,127.042128,1099,1076,1066,976,946,882,846,766,727,672,620,571,530,493,477
서울송전초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50881326,127.0951265,895,913,941,946,946,881,887,903,859,869,891,878,846,836,824
서울양강초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52423449,126.8478515,938,867,819,806,740,686,673,694,714,692,666,657,622,532,510
서울안평초등학교,초등학교,공립,서울특별시동부교육지원청,37.56596821,127.0720334,1198,1147,1068,1032,1035,988,1033,1064,1062,1066,1071,1098,1063,1057,1060
숭의초등학교,초등학교,사립,서울특별시중부교육지원청,37.55785307,126.9874816,632,606,628,619,586,587,590,610,627,645,617,581,576,554,534
서울문현초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.48279092,127.1302223,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1160,1123,1059,1024,935,906,843,849,849
신광초등학교,초등학교,사립,서울특별시중부교육지원청,37.54289988,126.9694475,414,400,388,394,384,380,373,383,382,377,377,379,372,369,367
서울서교초등학교,초등학교,공립,서울특별시서부교육지원청,37.55488903,126.9243787,1814,1645,1478,1323,1227,1076,1016,936,827,750,680,641,565,508,441
서울계남초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.51016776,126.8600159,1591,1520,1367,1273,1151,1053,991,986,930,888,892,869,827,777,784
서울목원초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.54291947,126.8824459,656,591,532,548,530,471,460,489,517,539,562,543,541,506,474
서울영서초등학교,초등학교,공립,서울특별시남부교육지원청,37.48896082,126.8955833,1062,1046,987,939,964,923,943,964,976,941,926,898,837,763,709
서울성수초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.54433609,127.0631674,1004,897,825,766,669,596,536,504,446,407,344,310,280,276,257
서울숭덕초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.6038198,127.013291,1601,1508,1483,1501,1417,1385,1328,1329,1321,1312,1298,1298,1233,1192,1166
서울안암초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.5871587,127.0220989,687,645,616,565,530,467,431,404,361,327,296,268,224,222,228
서울길동초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.5385062,127.1449729,1502,1383,1303,1216,1150,1069,1051,1013,966,969,938,911,820,809,791
서울홍파초등학교,초등학교,공립,서울특별시동부교육지원청,37.58622252,127.0395199,863,769,690,627,597,518,492,483,404,359,323,298,262,241,220
서울안산초등학교,초등학교,공립,서울특별시서부교육지원청,37.57916901,126.9522097,1251,1161,1086,1011,958,897,847,826,783,769,757,719,709,691,645
서울영본초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.51129869,126.9486724,1096,1094,1074,1079,1061,1057,1055,1050,1032,1014,988,987,991,936,858
서울영신초등학교,초등학교,공립,서울특별시남부교육지원청,37.51017196,126.9181917,1482,1423,1345,1329,1215,1129,1111,1076,1074,989,1008,999,949,868,845
서울홍릉초등학교,초등학교,공립,서울특별시동부교육지원청,37.59068752,127.0477051,969,865,796,742,633,561,519,493,489,459,452,446,418,390,353
서울온수초등학교,초등학교,공립,서울특별시남부교육지원청,37.49400506,126.8259667,1286,1208,1272,1240,1168,1133,1124,1113,1134,1140,1103,1030,965,912,843
경기초등학교,초등학교,사립,서울특별시서부교육지원청,37.56511029,126.9628606,785,756,747,735,734,739,691,665,637,608,583,569,564,570,575
서울삼각산초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.61614897,127.0145684,1790,1753,1706,1644,1570,1510,1467,1392,1359,1317,1250,1226,1181,1168,1090
서울도곡초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.49951141,127.0544655,1118,1018,975,901,822,734,747,797,844,893,910,882,943,954,937
서울언북초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.52012517,127.0447158,1474,1590,1669,1758,1750,1708,1786,1869,1831,1808,1845,1882,1895,1851,1854
계성초등학교,초등학교,사립,서울특별시강남서초교육지원청,37.5049159,126.9968257,720,720,720,720,720,720,724,727,731,729,727,720,712,707,705
화랑초등학교,초등학교,사립,서울특별시북부교육지원청,37.62878266,127.0889915,756,734,720,716,711,709,715,702,711,701,697,685,658,664,676
서울신자초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.53027881,127.0755876,901,831,723,692,606,550,509,482,463,415,405,376,381,352,323
서울응봉초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.55025339,127.0338297,1433,1315,1243,1156,1062,995,963,980,950,958,940,944,851,777,743
서울월정초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.53499419,126.8362936,2159,1976,1852,1728,1608,1459,1350,1268,1191,1141,1121,1109,1016,964,892
충암초등학교,초등학교,사립,서울특별시서부교육지원청,37.58571154,126.9216219,828,787,787,779,741,726,728,717,679,644,609,603,609,667,660
